ExecTime,PlaceTime,placeID,PlaceQty,BrokerKey,SecType,SecKey,limit,price,EstPrice,Algo,TranCode,ExchangeID,IndGrpID,SectorID,Currency,MFTotalCost
7723,15:45,477256,184,105683,csus,121426,MKT,84.484,83.82,                                                                                                                                                                                                                                                                ,1,1,1518,463,us,15545.056
6463,15:45,477257,287,105683,csus,43481,MKT,28.491,28.55,                                                                                                                                                                                                                                                                ,1,3,1540,468,us,8176.917
10320,15:45,477258,329,105683,csus,43649,MKT,37.321,37.44,                                                                                                                                                                                                                                                                ,1,3,1539,468,us,12278.609
10166,15:45,477259,275,105683,csus,44207,MKT,65.162,65.16,                                                                                                                                                                                                                                                                ,1,3,1538,468,us,17919.55
9830,15:45,477261,106,105683,csus,44412,MKT,123.054,123.87,                                                                                                                                                                                                                                                                ,1,1,1494,467,us,13043.724
9643,15:45,477262,272,105683,csus,44532,MKT,64.071,64.37,                                                                                                                                                                                                                                                                ,1,3,1509,462,us,17427.312
9463,15:45,477263,733,105683,csus,44545,MKT,19.022,19.02,                                                                                                                                                                                                                                                                ,1,1,1531,465,us,13943.126
9293,15:45,477264,203,105683,csus,44701,MKT,75.402,75.85,                                                                                                                                                                                                                                                                ,1,1,1478,464,us,15306.606
9083,15:45,477265,130,105683,csus,44827,MKT,110.591,111.03,                                                                                                                                                                                                                                                                ,1,3,1498,467,us,14376.83
8900,15:45,477266,112,105683,csus,135728,MKT,103.271,103.4,                                                                                                                                                                                                                                                                ,1,3,1516,463,us,11566.352
2436,15:45,477267,518,105683,csus,42110,MKT,19.281,19.27,                                                                                                                                                                                                                                                                ,1,1,1536,468,us,9988.058
183120,10:44,477407,200000,10000206,mbus,144819,mkt,100.702,100.702,                                                                                                                                                                                                                                                                ,0,0,1324,1377,us,201404
605850,12:00,486087,25000,10000283,mbus,134582,mkt,111.76,112.508,                                                                                                                                                                                                                                                                ,1,0,1329,1382,us,27940
7060,15:59,487372,65,88126,rtus,145159,mkt,18.49,18.93,                                                                                                                                                                                                                                                                ,1,1,1533,465,us,1201.85
30000,13:12,500203,20000,88293,csus,42732,mkt,409.77,410.12,                                                                                                                                                                                                                                                                ,0,3,1521,466,us,77395308.28
33990,13:27,500207,10000,88293,csus,42732,mkt,407.4,410.12,                                                                                                                                                                                                                                                                ,0,3,1521,466,us,77395308.28
75006,13:48,500213,15000,88293,csus,42732,408.5,407.65,410.12,                                                                                                                                                                                                                                                                ,0,3,1521,466,us,77395308.28
105010,14:06,500223,15000,88293,csus,42732,408.5,407.23,410.12,                                                                                                                                                                                                                                                                ,0,3,1521,466,us,77395308.28
5212010,14:32,500241,125000,88293,csus,42732,mkt,418.64,410.12,                                                                                                                                                                                                                                                                ,0,3,1521,466,us,77395308.28
565013,15:50,500351,3102,88293,csus,42732,mkt,419.04,410.12,                                                                                                                                                                                                                                                                ,0,3,1521,466,us,77395308.28
833,13:42,517663,500,88126,csus,45289,MKT,70.77,68.93,                                                                                                                                                                                                                                                                ,1,1,1508,462,us,35389.98
